company_code,year,oil_production_barrels,gas_production_mcf,coal_production_tons,flared_gas_mcf,carbon_capture_tons,scope1_emissions_tons
103,1997,9151445.038682878,26005009.091860235,339648.5424720466,2804551.1622230792,362529.36563692195,5911407.802205261
436,2007,12992900.059042146,27764188.30577684,489091.4457021347,8111327.4741451405,170828.41680004186,8438962.638769759
861,2017,8063810.369362896,16695326.83758255,323857.9553054845,6218059.473689618,174708.4047829142,5550707.288094805
271,2005,9700202.095726967,20151412.41905324,170816.86143658488,4245335.653927657,422397.3058965228,5681720.876090763
107,2008,5196322.713876533,25591821.92015088,142619.56119123392,3578897.276270896,463790.86895302444,3845285.89080522
72,2006,12335583.529355068,15288999.015181968,481672.97042353154,6068243.411742394,301212.9554426576,7189193.686100536
701,2002,9177021.766786058,17431628.757034022,92501.14855403252,4906018.8888391685,203419.6772787916,5392979.439581205
21,1996,10253587.684736038,26623113.091120243,403098.3058348099,1501616.6221358716,26571.810337596315,7253856.469686606
615,2016,6146893.178107587,25401712.99240966,232631.1460043794,6986715.500643699,63282.507396773435,5001458.785696314
122,1999,14917142.287874369,29423991.35832178,221879.87717640027,5497818.289509596,70893.91129860573,8417684.949738951
467,2023,8024678.26984846,29919481.170293003,373768.89398942445,3492096.3552049464,138401.6722673465,6194621.67190528
215,2025,11349896.615964502,14814890.93942758,74019.21502297171,3613735.9318254036,128515.91143737323,5976504.072377085
331,2014,10812363.448544655,28008999.723473467,233147.96307246023,5075061.339518651,271440.8239205468,6921455.07875225
459,1995,12850922.039249904,11890310.027001383,17916.843883874157,8448332.158500712,472049.9402459802,6052836.788096266
88,2013,7938369.556219606,24196004.179281108,335203.41075573466,4807455.22283203,430830.5109332468,5473006.025464457
373,2007,12559273.449972373,14401987.753511019,29188.641976833183,8556227.484230366,254581.5018697515,6535474.030092356
100,2012,8825017.306857344,16006223.138451254,43644.39883694349,4823768.921855753,8649.129893819107,5100728.888948173
872,1995,9111609.658463491,28926423.553290837,422413.1906146016,8469218.492771398,34199.45162201049,7169656.77627364
664,2018,11727125.2648677,15263024.734684238,221477.593507964,9383769.677659174,430175.4535576863,6582388.983364651
131,2014,12842857.717404688,23463557.383212604,100487.84427412128,1185164.9072901432,141815.01329573026,6845777.727740935
662,2006,11668666.36120559,13562570.157265123,296292.28797768994,1560253.7100014873,159045.20885190627,6302487.070023549
309,2013,13998795.205711521,11867799.551409753,259641.6322922657,2206173.661711829,69888.72809125368,7515720.910480096
770,2000,7851590.295100673,16786340.50687729,205454.16337142908,2099084.3142947885,111556.7076928598,4889493.743431485
344,2015,14006167.321019493,22483922.015789628,452708.5333746737,5090300.9502998255,123594.08425729396,8483688.399412896
492,2023,6308635.259433787,14958902.875081623,374728.999076173,7876306.643904131,206046.73263651557,4654662.142522625
414,2017,11595303.190299805,16003375.97343348,75796.43562764832,9651955.7364996,311572.7557399603,6382965.359594809
806,1992,10476306.513801776,24174596.372129105,285387.32497370994,4760027.32571009,176578.04185198166,6508143.150892769
386,2000,9946359.404155895,12055920.45962738,44371.95035238356,7196330.229076444,224931.6334756476,5488748.502372005
192,2003,8109120.288621783,18938101.83607015,122326.98522140329,6719562.206331076,90950.04846857164,5177089.358290299
956,2015,10037327.453082342,28834690.59764448,454930.1733603202,4538651.811686582,28194.853503436145,7321274.242869059
277,2010,6617733.563847032,17939433.2482845,231039.96285412108,7490111.670130081,174120.18836472614,4497509.255784126
161,2019,8693209.442116756,18684020.559548788,446053.05080885085,6327559.750230022,31245.73188318319,6278655.130472489
460,1997,5986809.174838774,24764086.07214578,82999.48279578207,7839455.69023834,149860.06890637672,4348549.6429052465
314,2009,10718465.997863196,25580230.440656938,102670.87375581946,2742838.3321227403,418799.39421060664,5963853.624226284
22,2021,5957678.86199627,25392127.79561049,176412.36153354638,4242442.467428642,183465.42160101453,4462068.810186143
253,2011,6603446.439051657,29957340.498271443,183162.82112973338,7040997.224049964,96630.88277998005,5229358.985535108
748,1996,5854668.014874813,11429021.749741146,372638.6351153121,2123231.1626162557,451033.77171045187,3858425.5873388047
857,1998,8813106.399520779,29645065.692659985,299705.280984186,7933578.1119020395,319674.671171279,6043891.724521205
561,1990,13419584.544183485,29003792.339947976,276624.71297331504,2200957.9504859364,494125.9007716315,7411089.8398329755
475,2018,14068963.916338278,27042778.005191162,301187.75341404695,3920087.3593078433,150125.70972573548,8061668.225164969
59,1997,5718894.546000134,19082511.517040834,366095.68626170454,3137758.060014414,100184.53687953071,4635250.518641214
511,1993,11345501.40861627,27418047.432678487,446408.31930454436,1548870.0545542217,148970.14156385706,7135878.925629802
682,2024,11843854.245920734,14416648.246121904,207369.97823861009,3435911.5320140757,406246.1796152569,6481498.029367608
476,1992,10337699.424320241,25833116.707756605,401462.9714617327,9203600.883553611,75764.26449614426,7663751.727502009
700,1996,11669848.61469546,13704766.062421083,247548.4415430143,1242357.8225389905,120539.1528102071,6642333.068285777
976,2016,7336907.154430953,26307240.069423594,361039.1212747692,1151460.3764033816,350816.47948161553,5445592.303181559
783,1990,9896442.118190162,22290582.66528114,437411.8940298838,7338401.631229474,369000.21568885003,6391506.028896754
190,2016,8908758.490358286,11960625.59027051,16107.411182416876,4301829.23479177,479420.6695727354,4363217.704794481
958,2005,5897079.514396311,27906391.107144505,273314.8776683902,3067669.7098734197,490075.8384171321,4375624.374807404
687,1996,11255564.39722489,21559143.909104887,494690.3132302377,5579849.360927696,331765.55950881995,7411766.662913493
958,2012,9952151.926715463,23124965.562742293,248112.20726123208,3400079.832555386,181397.31046178148,6113002.849063541
563,2000,7751740.269025832,15670200.713032201,432151.84130084614,4528161.302795373,226507.08322787745,5243059.426653866
876,2022,9736852.604033714,27432710.07845613,92949.92620841469,7438027.498237851,219633.85541235915,6374745.944097794
567,2025,12752980.18397503,20904014.70307127,302143.5451231658,2052163.580347355,193688.9884159318,7293418.481886168
244,2006,13016577.62808064,18422405.68583007,435152.9816172226,9636905.871651309,169122.61280716368,8282850.783325472
832,2024,11495261.28749369,20685634.904566348,215766.5658093856,1382758.158421483,83950.16369709962,6697339.985556434
505,1994,9677478.334001638,24066261.62935553,243361.02945252185,8258836.197954056,183079.51873156568,6482392.5944180135
131,2021,10757496.39203848,23900957.513985403,41008.952224508896,7521320.745562693,484614.86716490577,5895250.336894498
485,1992,8850153.71355617,17151542.019156255,21086.045975302502,3538806.19414816,441078.1715372891,4442937.20834629
819,2024,6265563.4299423825,17705165.60212521,234354.1497914916,2064905.6639703128,308663.31834735913,4207540.864596797
647,2003,8856205.97386092,21244763.85676854,421737.66582056694,8671374.443748236,96402.99032508016,6127749.147990455
21,2020,10303327.560696343,28488142.41433976,465662.1360573575,7116504.637752402,439332.37120560854,6887707.058156181
841,2020,10988340.14650584,24908605.339319512,329326.5017306378,3617931.0118147233,155932.9998165992,6699131.582791434
167,2006,14358009.76054621,17808299.70731113,413199.2996673087,1152362.5450324607,272857.435236501,8322806.171641004
274,2013,12773334.450306162,16740652.531035222,367427.0813292026,9446413.081312416,455897.3938901607,7058417.513831759
388,2012,6519925.614446773,20472733.48274629,350742.9134502047,4638278.498139657,167345.05278540545,4655987.7786083715
601,2007,6741822.0665292805,27399827.378291894,384516.54939337936,2586401.6229036725,456671.3668823381,4900693.620263003
316,2003,6004947.592397541,10173584.831917504,252651.47620546457,9206505.508090438,117564.17895416004,4105217.773274265
14,2004,12381817.272209179,24209721.365791284,228969.05174842724,4231185.799173163,464351.5519151382,7035286.66876617
242,2004,12061222.78491857,15890245.108755339,79571.76112093007,5169264.768978376,179332.73612345746,6668146.118275568
777,1995,14863629.01696881,14167949.604323398,421907.65835404495,7287567.970455236,187300.60440872147,8431574.300263718
346,2016,10220234.176643487,10242759.936335178,22306.94005195233,8374769.44330953,276503.9608228564,5119100.279566633
565,2004,13264149.28848882,27931812.412509542,133722.06061866455,1901599.7387189316,173513.23649686913,7724121.442706235
898,2025,10764398.586427875,28244969.40012881,259958.07357286455,9088065.136394223,224991.2059609222,7042737.580366902
340,1997,13740867.125274371,11228348.832876403,485799.05626102485,9392857.463111836,250661.9875718304,7754192.48141085
92,2004,12210210.393027514,20436306.461027212,392986.4711479486,3333427.5399770755,245509.77428997506,7505688.216084745
367,1992,11428840.149912529,13051489.173472198,184335.612324314,5476491.459477586,480554.72770680906,5633083.959928511
956,2002,10651226.709830504,25173751.092965484,356974.19525621756,8720878.007911865,140894.22640011896,7001467.821696929
455,2023,12229705.244429749,23307829.43532294,465684.6940075781,5386134.986818461,142289.7899179349,7968734.327804827
428,2013,9196538.426710105,15942616.259102887,269441.72576853796,5337771.142761589,418960.84496267285,5176036.94950841
509,2021,5965765.807056641,12339205.620807309,230970.09775047467,6566708.708643495,196004.4209247036,3909175.6387421
776,2021,5399861.287978408,26624413.256147772,276496.63613716373,7906953.814271534,36598.57195525451,4836558.414629743
943,2019,9790237.316091739,23485049.585697018,155765.02057699137,6990556.472161335,240626.9895480571,5983586.182863045
35,2002,10992915.822201412,10136398.900051055,453674.4053420953,6639099.777157651,275114.4572232458,6840559.349742044
206,1990,5788490.305706254,22557435.618722104,398640.9062307385,4345042.009085528,308846.36732625554,4737338.017235949
81,2023,7869035.489121022,26205920.55392692,352742.0561766385,6670663.350664222,117546.62936867954,5687262.798084246
932,2004,8220322.059754871,21815361.191529654,294546.04028132133,1929455.857479712,486629.719410733,4936764.832016717
562,2003,10627955.352082513,18494273.533534393,484737.3892260942,4686023.0516488515,368509.135848233,6771137.001386794
872,2018,7784824.560427891,21678367.5708463,148852.8647372102,2695161.545123324,360070.34963522386,4792013.300252955
388,2023,5956485.995560067,22394241.134946946,141567.58245342478,5838110.575744421,436436.23191276455,3990127.9764308855
2,2007,6648567.409465501,22800692.478842616,121069.1664315911,3358406.689818224,13063.782282548842,4744588.789509728
390,1996,6739478.016041933,29340901.07808727,370887.9943224662,5553413.396467765,306571.11438500043,5677295.884091522
566,2018,13426949.442227615,13572955.751167167,398642.8199371501,7995925.2861091,408918.4544471642,7660362.458611618
106,2020,7843196.869782914,22461862.546278115,298557.08808334597,4905934.251015635,17186.87251858986,5644071.9735237835
772,2014,12146917.33914757,13759866.39259369,325991.85516905866,2968557.9670071937,378072.8570782439,6746288.274397286
822,2003,10678387.463393059,14199134.404980235,174480.3823031964,3006835.070301071,494848.6250694086,5634788.567834447
477,1997,14770387.53616442,23385157.674147338,19878.77123644116,9156290.033782642,296705.17482074915,7691160.272094203
703,2016,7728226.6888020225,28319081.699439656,126817.9218206265,8028142.8816245,212346.1949442739,5429819.11391882
402,1991,6583730.205292002,13180884.941984832,292151.613565213,1329154.0086689128,226804.18253715828,4104406.0788353435
730,2006,5520378.376945604,29249310.675128523,406466.3411921943,9484505.274325343,339740.38826661214,5428227.537411861
556,2003,7409596.622812806,16387446.52032458,388597.4892164986,2013086.6849334762,284977.8807381004,4688955.552499894
162,2014,11840708.864153925,17826280.869136002,89743.68209659062,6876481.466998494,393785.1182627087,6576553.034457043
202,2019,5852582.246368606,13073616.478776751,25723.105038114147,5963527.734197058,210818.78102650715,3458814.4429631103
958,2018,7447018.451496585,22316722.11703301,425280.01999802067,1420055.6305200732,208662.32561739962,5233732.585475208
996,2009,13553083.68184012,21928409.892479345,37794.61635132581,3656559.477444327,372982.688262044,7209656.788043019
270,2010,10829529.493645202,18845394.862052985,196655.63139453324,7982682.432277063,322759.3356203314,6037959.777762894
863,2011,5695215.402531954,19521827.79768672,47112.82839245784,3761918.564160797,389049.01652680105,3394966.803097444
816,2024,5476831.4424976325,22459517.515737817,282024.3552243034,5322991.544281377,443581.86220589053,4253480.101900287
271,2005,5611228.753257669,21669930.69928717,181668.21559375813,7281554.882565274,131702.92225394514,4484661.262480555
456,2006,14418750.501472527,17485267.632968232,101246.80890075627,1644155.5948566492,157517.93563194133,7094508.396250016
462,2005,13498714.285610547,27682287.705997333,297583.8341090206,8493451.421408162,263475.37081923557,8655581.507091027
727,1991,13449400.420187747,23353210.46254712,181695.8949398448,1374230.6183943944,465226.3954039938,6798221.363537722
